ID,parity, year-season at birth,TNB,NBA, litter weight at birth
4133,1,315,13,10,15.8
4409,1,315,15,15,19.2
4419,1,315,13,12,19.8
4119,1,315,14,12,17.9
4193,1,315,15,15,19.9
4192,1,315,17,17,20.7
3589,2,315,13,13,19.4
4545,1,315,12,12,18.7
3536,2,315,16,14,17.3
4094,1,315,15,13,18.2
3322,2,315,18,16,26.1
4478,1,315,11,8,9.9
3936,1,315,10,10,10.7
3497,2,315,6,5,11.6
3685,2,315,13,12,17.7
4466,1,315,16,14,19.2
3438,2,315,17,12,16.8
4313,1,315,17,12,12.9
3400,2,315,9,9,18.5
3945,1,315,16,15,24.5
4327,1,315,20,19,23.8
4125,1,315,9,7,8.4
4262,1,315,15,10,12.2
4524,1,315,15,14,16.9
4489,1,315,20,19,17.8
4549,1,315,13,11,15.6
3962,1,315,19,12,13.9
4477,1,315,11,9,9.6
4482,1,315,13,12,13.2
3465,2,315,8,6,9.3
3966,1,315,11,11,16.4
4553,1,315,15,14,19.1
4497,1,315,14,14,17.1
3950,1,315,17,16,14.4
4014,1,315,12,11,15.2
4187,1,315,15,14,15.8
3174,2,315,16,16,18.6
4283,1,315,15,14,17.1
4495,1,315,16,5,8.8
4168,1,315,14,14,16.3
4467,1,315,5,4,7.5
3480,2,315,16,15,21.2
4073,1,315,13,13,20.2
4006,1,315,20,18,20.7
4232,1,315,17,14,19.6
3995,1,315,12,9,19.6
4329,1,315,16,16,19.4
4026,1,315,17,15,20.9
3638,2,315,15,15,19.4
3648,2,315,15,14,19.7
4550,1,315,14,12,17.6
4176,1,315,13,12,19.8
4202,1,315,14,14,18.6
4470,1,315,14,12,14.2
4284,1,315,12,12,14.2
4517,1,315,9,9,14.1
4297,1,315,12,12,18.9
3946,1,315,13,12,15.5
4570,1,315,18,16,19.4
4400,1,315,13,13,20.2
3949,1,315,13,12,14.7
3958,1,315,15,13,19.9
3405,2,315,12,12,20.3
3681,2,315,14,13,17.9
4544,1,315,7,6,9.2
4019,1,315,11,11,20.1
4491,1,315,12,12,17.4
4552,1,315,17,17,21.8
4499,1,315,11,11,14
4289,1,315,13,13,13.2
3509,2,315,9,9,13.9
3975,1,315,19,17,20.7
4528,1,315,13,12,15.2
4353,1,315,11,11,18.6
4138,1,315,16,14,19.1
4533,1,315,8,8,12.9
4538,1,315,17,15,18.8
3469,2,315,15,5,7.7
4468,1,315,17,14,14.5
